label,message
spam,Congratulations! You have won a $1000 Walmart gift card. Click here to claim now
spam,URGENT! Your account has been suspended. Verify your details immediately to avoid closure
spam,You have been selected for a free iPhone 15. Claim your prize within 24 hours
spam,WINNER!! As a valued customer you have been selected to receive a cash reward of $5000
spam,Get rich quick! Invest $100 and earn $10000 in just one week guaranteed
spam,Your loan of $50000 has been pre-approved. Apply now with no credit check
spam,FREE entry into our weekly lottery draw. Text WIN to 80086 now
spam,Hot singles in your area are waiting to chat with you tonight
spam,Claim your free vacation package to Bahamas. Limited time offer expires today
spam,You have an unclaimed inheritance of $2 million. Reply with your bank details
spam,Lowest price on Viagra and other meds. Order now with 70 percent discount
spam,Your credit score has increased. Get a new credit card with zero interest now
spam,Make money from home working just 2 hours a day. No experience needed
spam,Final notice: Your car warranty is about to expire. Call now to renew
spam,Congratulations you have been chosen to test our new product for free just pay shipping
spam,Act now! This exclusive investment opportunity will double your money in 30 days
spam,Your Amazon account has a billing problem. Update payment info immediately
spam,Free ringtones and games. Text STOP to unsubscribe or GO to continue
spam,You have 1 new voicemail from a prize department. Call this number now
spam,Limited time offer buy one get one free on all electronics click here
spam,Dear customer your parcel could not be delivered click the link to reschedule
spam,Earn $500 daily by filling simple online surveys sign up now
spam,Your PayPal account has been limited please verify your identity here
spam,Exclusive deal only for you 90 percent off branded watches today only
spam,Your subscription payment failed update your card details to avoid suspension
spam,Congratulations you are our lucky visitor today claim your reward before it expires
spam,Hey I found this amazing way to make passive income DM me for details
spam,Your bank account will be frozen unless you verify your PAN card now
spam,Get a free trial of our weight loss pills just pay for shipping and handling
spam,You are pre-qualified for a platinum credit card apply within 24 hours
ham,Hey are we still meeting for lunch tomorrow at noon
ham,Can you send me the notes from today's data structures class
ham,Don't forget to submit the assignment before midnight
ham,"Mom said dinner will be ready by 8, come home soon"
ham,"Let's catch up this weekend, it's been a while"
ham,The project deadline has been extended to next Friday
ham,Can you pick up some milk on your way back home
ham,"I watched that movie you recommended, it was really good"
ham,Meeting rescheduled to 3 PM in the conference room
ham,Happy birthday! Hope you have an amazing day
ham,Thanks for helping me with the assignment yesterday
ham,"I'll be a bit late, stuck in traffic on the highway"
ham,Can we go over the presentation slides before the review
ham,The wifi in the hostel is not working again
ham,Please review the code I pushed to the repository
ham,Are you coming to the college fest this weekend
ham,"I need to renew my library book, is it due today"
ham,Let's plan a trip during the semester break
ham,The professor postponed the exam to next Monday
ham,Can you share your notes on machine learning algorithms
ham,"I finished the lab report, will send it to you tonight"
ham,What time does the bus leave for the industrial visit
ham,"Congratulations on your internship offer, well deserved"
ham,Let's form a team for the hackathon next month
ham,"I'm going to the gym in the evening, want to join"
ham,"The library closes at 8 pm today, plan accordingly"
ham,Can you help me debug this python script later
ham,Our flight got delayed by two hours
ham,"I ordered food, should be here in twenty minutes"
ham,Reminder that the fee payment deadline is this Friday
ham,I submitted the internship application form today
ham,Let's meet at the coffee shop near the campus gate
ham,The workshop on AI and robotics starts at 10 am
ham,Please find attached the minutes of yesterday's meeting
ham,Can you send the updated resume format for placements
ham,"I am stuck on this DBMS query, can you take a look"
ham,The seminar hall is on the third floor near the lab
ham,Let's practice for the coding interview this weekend
ham,"Great job on the presentation today, it went really well"
ham,Can you confirm the venue for tomorrow's group study
